S.no,Name of the report,Year,Released Month,Tags,AID,SID,SSID,CDN Report Link,Thumbnail Links- New
296,State of India K-12 Report: Resilience Amidst Uncertainties- Sector Report,2024,,"K-12 education, resilience, uncertainties, sector report,primary education, school sector, education trends, challenges",1029,5000,5003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/State%20of%20India%20K-12_Report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/296.webp
297,"The What, Why, and How of K12 Platforms Report",2024,,"K-12 platforms, education technology, implementation,edtech, school platforms, education systems, learning technology",1029,5000,5003,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/The%20what,%20why,%20and%20how%20of%20K12%20Platforms_Report.pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/297.webp
298,HealthTech Report: Indian Industry Overview,2023,JUNE,"HealthTech, Indian healthcare, industry overview, technology in healthcare,digital health, health technology, healthcare sector",1029,10000,10004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/HealthTech_v17-1.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/298.webp
299,India Insurtech: Indian Industry Overview of Insurance Industry,2024,,"Insurtech, insurance industry, Indian market, technology in insurance,digital insurance, insurance technology, insurtech landscape",1012,16000,16001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/INDIA%20INSURETECH%20BLUME%20VENTURES.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/299.webp
300,Eldercare Bluprint: Senior Care Market Sector Overview,2024,,"eldercare, senior care, market overview, aging population,elderly care, senior market, senior living, geriatric care",1012,10000,10010,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Eldercare%20Bluprint.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/300.webp
301,Senior Care Reforms in India ,2024,feb,"senior care, reforms, policy changes, aging population,eldercare policies, senior services, elderly support",1030,10000,10010,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Senior%20Care%20Reforms%20in%20India%20FINAL%20FOR%20WEBSITE_compressed.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/301.webp
302,India Electric Vehicle Report 2023 : Critical unlocks are needed to realize the $100+ billion EV opportunity,2023,,"electric vehicles, Indian EV market, critical unlocks, market potential,EV industry, electric mobility, sustainable transportation",1001,8000,8002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/bain_report_india_electric_vehicle_report_2023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/302.webp
303,Unlocking Indian Entreprise Fintech Market,2024,,"fintech, enterprise solutions, Indian market, financial technology,digital finance, enterprise fintech, financial solutions",1019,9000,9001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/FinTech-Report-2024.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/303.webp
305,"Large language by Deloitte and Nasscomm
Models (LLMs)- A
Backgrounder",2023,sep,"large language models, LLMs, artificial intelligence, backgrounder,AI models, language models, natural language processing",1031,3000,3004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/in-consulting-nasscom-deloitte-paper-large-language-models-LLMs-noexp.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/305.webp
306,India: The new hub for Neobanks 2.0,2022,june,"neobanks, Indian market, digital banking, fintech 2.0,challenger banks, digital banks, fintech innovation",1032,9000,9001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/India-new-hub-of-neobank-2.0-V2.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/306.webp
308,Green Hydrogen BLUprint: Renewables Sector Report,2024,,"green hydrogen, renewable energy, sector report, sustainability,hydrogen energy, green energy, sustainable power",1012,8000,8003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Green-Hydrogen-BLUprint_Summary.f1705995929.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/308.webp
