S.no,Name of the report,Year,Released Month,Link,Tags,AID,SID,SSID,CDN Report Link,Thumbnail Links- New,,
1,Future Of Play: Building The Next-Gen of Gaming,2023,October,https://drive.google.com/file/d/16TsgnXcccOBC5K9_mWclj3XBgYKlM-Kp/view?usp=sharing,"games, game industry, digital gaming, interactive entertainment, game tech ",1011,5000,5001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Elevation/Future%20of%20Play.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/1.webp,,
2,Mapping A Billion: Understanding The Indian Fintech User,2023,Nov,https://drive.google.com/file/d/1AvMCH4aOMnKpihmH8IaWKtxGONRVwVB_/view?usp=sharing,"financial tech, financial services, digital banking, fintech consumers, fintech trends ",1011,9000,9001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Elevation/Mapping%20A%20Billion.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/2.webp,,
3,Marketplaces Unleashed: Fuelling India’s $200B Consumer Spending Surge,2023,Sept,https://drive.google.com/file/d/1c2w5gVd67T8UmkU8X8uoASZwxEL86D2U/view?usp=sharing,"online marketplaces, consumer market, digital commerce, retail growth, spending trends ",1011,5000,5002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Elevation/Marketplaces%20Unleashed%20Consolidated%20Presentation.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/3.webp,,
4,The Bottomline: Elevation Fintech Report 2023,2023,Aug,https://drive.google.com/file/d/14m9Re8bSJxAc9x83Do2kbwz-Vc9kgfPC/view?usp=sharing,"financial services, digital finance, fintech analysis, fintech trends, finance insights ",1011,9000,9001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Elevation/The%20Bottomline-%20Elevation%20Fintech%20Report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/4.webp,,
5,Startup Paypulse Report 2023,2023,Aug,https://drive.google.com/file/d/1rO9N6pcuyp7YLpqitnNDFQdA73d5iM3C/view?usp=sharing,"new businesses, startup ecosystem, fintech startups, payment trends, startup growth ",1011,12000,12001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Elevation/Elevation%20Startup%20PayPulse%20Report%202023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/5.webp,,
6,India Pulse: 2022,2022,Dec,https://drive.google.com/file/d/1QEfkMlcdEWRLK2MmOeY53aVWv8WXGC0q/view?usp=sharing,"India analysis, economic pulse, market trends, industry insights","1011, 1025",22000,22001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Elevation/India%20Pulse%202022%20_%20Elevation%20&%20Tracxn.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/6.webp,,
7,Battery Bluprint Innovation & Investment Outlook,2023,Aug,https://drive.google.com/file/d/1M6JrAGERLVtrss8MTLl-nw336wyvXNcI/view?usp=sharing,"battery innovation, investment trends, energy storage, tech outlook ",1012,8000,8001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Battery-tech-BLUprint-v2.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/7.webp,,
8,Blue Collar Workforce: Thesis By Blume Ventures,2021,Apr,https://drive.google.com/file/d/1SKehixIV-GozLmNnzhTIWsQ4YGk8fNMT/view?usp=sharing,"labor force, industrial workers, job market, workforce trends, labor analysis ",1012,7000,7001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Blue%20Collar%20Thesis%20by%20Blume.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/8.webp,,
9,Indian Edtech In 2022: Building In The Shadow of Giants,2022,Dec,https://drive.google.com/file/d/1xeXWSCPFV7Q9aZWbNsJGYc4arKKxEvRh/view?usp=sharing,"e-learning, digital education, education startups, tech in education, education sector, edtech, ed-tech",1012,5000,5003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Blume%20Edtech%20Report%202022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/9.webp,,
10,Demystifying The Indian EV Ecosystem,2023,June,https://drive.google.com/file/d/1LzbZ-A5Fn0iYdK7R-ZfgnmTtbcMTt6Mh/view?usp=sharing,"electric cars, EV industry, sustainable transport, green vehicles, EV trends ",1012,8000,8002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Blume%20EV%20Primer%202.0%20%5BJune%202023%5D.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/10.webp,,
11,Hacking The Cybersecurity Market,2020,October,https://drive.google.com/file/d/1QuDQY0w6KcMiwJpf-1vi6uFHkMJ0rdBK/view?usp=sharing,"cyber defense, information security, security tech, cybersecurity trends, digital protection ",1012,20000,20001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Cybersecurity%20Thesis%20Final%20-%20External.pptx.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/11.webp,,
12,Developer-Led landscape,2022,Sept,https://drive.google.com/file/d/15mhvnKqiaWriFO02QnTs4EBxcikDSK8X/view?usp=sharing,"software engineers, developer trends, tech development, IT landscape, coding industry ",1012,15000,15001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Dev%20Market%20Report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/12.webp,,
13,Future Of HR tech: From India For The World,2023,Aug,https://drive.google.com/file/d/1Oa47jaoWvUslXvcxsplDZHqhZOinqApo/view?usp=sharing,"human capital management, HR innovation, workforce tech, employee management, HR trends, hr-tech, hrtech",1012,20000,20002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/HRTech-Thesis-Presentation.f1693292706.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/13.webp,,
14,Indus Valley Annual Report 2022,2022,April,https://drive.google.com/file/d/1LiN-Mj0MIJcmLZW4xwY2Jrv9Jz7lR1Zo/view?usp=sharing,"yearly report, business review, market trends, industry report, 2022 summary ",1012,5000,5004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Indus%20Valley%20Annual%20Report%202022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/14.webp,,
15,Indus Valley Annual Report 2023,2023,April,https://drive.google.com/file/d/1WxSJsd-OMHgfWeo-rq-Qnan-MyXPuRXR/view?usp=sharing,"yearly report, business review, market trends, industry report, 2023 summary ",1012,5000,5004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Indus%20Valley%20Annual%20Report%202023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/15.webp,,
16,Mental Healthcare Thesis By Blume Ventures,2022,October,https://drive.google.com/file/d/1da15LpKQM2I3sbG4afg6QP6WyccuWI8l/view?usp=sharing,"psychological care, mental wellness, health startups, healthcare trends, mental health industry ",1012,10000,10001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Mental%20Healthcare%20Report%20Blume.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/16.webp,,
17,The Omega Files: Look Into Blume's Fund I Returns,2023,Dec,https://drive.google.com/file/d/1RdMEaOlRdKpRfjltOANOd9Xo2gZEd8X8/view?usp=sharing,"VC returns, fund performance, investment insights, Blume analysis, financial returns ",1012,22000,22002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/The%20Omega%20Files_%20Episode%201.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/17.webp,,
18,Beauty Unveiled : Decoding The Success of Pure-Play Beauty Companies,2023,Sept,https://drive.google.com/file/d/1SY_ker2EZ1mf0EhZBovLa8C9HmREmrUm/view?usp=sharing,"beauty industry, pure-play beauty, success factors, market analysis, cosmetic brands, beauty market insights, beauty trends, skincare companies","1003, 1020",5000,5005,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/RedSeer_BPC%20Report_.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/18.webp,,
19,AgriTech: India’s Sunrise Sector,2023,Sept,https://drive.google.com/file/d/1THFSznxwIxhF8VtBVkxU_5pCBfAqzE6y/view?usp=sharing,"agri innovation, farm tech, agricultural trends, agribusiness, tech in agriculture , agri-tech, agritech",1013,2000,2001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/AgriTech-Indias-Sunrise-Sector.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/19.webp,,
20,India Venture Capital Report 2021 (Covering 2020 Only),2021,March,https://drive.google.com/file/d/1NYhcQgPAX7gE8fHZYjLvXOZv4tUqjK40/view?usp=sharing,"VC report, investment review, funding analysis, 2020 venture, capital trends ",1001,22000,22001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Bain&Company/bain_report_india_venture_capital_2021_compressed.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/20.webp,,
21,India Venture Capital Report 2022 (Covering 2021 Only),2022,March,https://drive.google.com/file/d/11A3Faeecp9mbU0cnCAGMEhm9jo8iAwPC/view?usp=sharing,"VC report, investment review, funding analysis, 2021 venture, capital trends ",1001,22000,22001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Bain&Company/Bain-India-VC-2022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/21.webp,,
22,"Beyond E-Commerce 3.0 : D2C, Ecom Enablement & ONDC",2023,Jan,https://drive.google.com/file/d/1sKo7U1yhV5HOscr9I5D_x_r5y043b2lm/view?usp=sharing,"e-commerce, D2C, ecom enablement, ONDC, digital commerce,  online shopping, direct-to-consumer, ecom tools, digital marketplaces, ecommerce, ecom",1013,5000,5006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Beyond-E-Commerce-3.0-1.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/22.webp,,
23,Chronic Care : Solving For The Pervasive Chronic Disease Scourge In India,2021,Sept,https://drive.google.com/file/d/1YAnYJtFaFazom9OHsF3IcCHy6apg6ZlW/view?usp=sharing,"chronic disease, healthcare, disease management, India health, healthcare solutions, chronic condition, medical care, health challenges",1013,10000,10002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/chronic-care_compressed.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/23.webp,,
24,Circular Economy,2022,May,https://drive.google.com/file/d/1hqZxIXMKMQhqMPTQPfbE1Mv_Sn4_svV7/view?usp=sharing,"sustainable economy, waste recycling, eco economy, green business, circular model ",1013,4000,4001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Circular-Economy-Report-2022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/24.webp,,
25,Creator Economy,2022,Jan,https://drive.google.com/file/d/1-_tGNcKQHojZ3BnNCdeD7kiewciwofdS/view?usp=sharing,"content creation, digital influencers, creator market, social media creators, creator trends ",1013,6000,6001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Creator-Economy-Kalaari-Capital.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/25.webp,,
