Serial No.,Name of the report,Year,Released Month,Author/Company,Sector,Sub-sector,CDN Report Link,Thumbnail Links- New,,
1,Future Of Play: Building The Next-Gen of Gaming,2023,October,Elevation Capital,Consumer Tech,Gaming,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Elevation/Future%20of%20Play.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/1.webp,,
2,Mapping A Billion: Understanding The Indian Fintech User,2023,Nov,Elevation Capital,Financial Services,Fintech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Elevation/Mapping%20A%20Billion.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/2.webp,,
3,Marketplaces Unleashed: Fuelling India’s $200B Consumer Spending Surge,2023,Sept,Elevation Capital,Consumer Tech,Marketplaces,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Elevation/Marketplaces%20Unleashed%20Consolidated%20Presentation.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/3.webp,,
4,The Bottomline: Elevation Fintech Report 2023,2023,Aug,Elevation Capital,Financial Services,Fintech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Elevation/The%20Bottomline-%20Elevation%20Fintech%20Report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/4.webp,,
5,Startup Paypulse Report 2023,2023,Aug,Elevation Capital,Human Resources,Talent Trends,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Elevation/Elevation%20Startup%20PayPulse%20Report%202023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/5.webp,,
6,India Pulse: 2022,2022,Dec,"Elevation Capital, Tracxn",Venture Capital & Private Equity,Funding Trends,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Elevation/India%20Pulse%202022%20_%20Elevation%20&%20Tracxn.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/6.webp,,
7,Battery Bluprint Innovation & Investment Outlook,2023,Aug,Blume Ventures,EV & Renewables,BatteryTech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Battery-tech-BLUprint-v2.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/7.webp,,
8,Blue Collar Workforce: Thesis By Blume Ventures,2021,Apr,Blume Ventures,Employment,Blue Collar Workforce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Blue%20Collar%20Thesis%20by%20Blume.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/8.webp,,
9,Indian Edtech In 2022: Building In The Shadow of Giants,2022,Dec,Blume Ventures,Consumer Tech,Edtech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Blume%20Edtech%20Report%202022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/9.webp,,
10,Demystifying The Indian EV Ecosystem,2023,June,Blume Ventures,EV & Renewables,EV,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Blume%20EV%20Primer%202.0%20%5BJune%202023%5D.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/10.webp,,
